SP;PV;CV;Auto
60;13.160063;10;0
60;13.160063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.240063;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.390062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.140062;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.190063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.320063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
60;13.800063;10;0
